input_doi,matched_doi,confidence,matched_doi_type,matched_in_openalex
10.48550/arxiv.1306.4619,10.1017/s0021900200012043,0.9875,journal-article,TRUE
10.48550/arxiv.0909.2539,10.1142/s0219493709002634,0.9495,journal-article,FALSE
10.48550/arxiv.2201.06759,10.1609/aaai.v36i11.21465,1,journal-article,TRUE
10.48550/arxiv.1012.5698,10.1007/s10955-012-0462-5,1,journal-article,TRUE
10.48550/arxiv.math/0009080,10.1007/s00153-004-0212-8,0.975,journal-article,TRUE
10.48550/arxiv.1812.00123,10.1109/cvpr.2019.00297,1,proceedings-article,TRUE
10.48550/arxiv.hep-th/0409078,10.1002/prop.200610358,0.8665,journal-article,FALSE
10.48550/arxiv.2207.02060,10.1007/s10915-024-02724-w,0.9354,journal-article,FALSE
10.48550/arxiv.1303.4099,10.3934/jmd.2013.7.565,0.9798,journal-article,FALSE
10.48550/arxiv.2207.05952,10.1109/tpami.2024.3357172,1,journal-article,TRUE
10.48550/arxiv.2102.08997,10.1109/cvprw53098.2021.00312,1,proceedings-article,TRUE
10.48550/arxiv.2003.03045,10.1109/cdc42340.2020.9303947,1,proceedings-article,TRUE
10.48550/arxiv.1508.02463,10.1103/physrevlett.115.201801,1,journal-article,TRUE
10.48550/arxiv.2401.10035,10.1007/s00601-024-01879-4,1,journal-article,FALSE
10.48550/arxiv.alg-geom/9704014,10.1007/s000140050098,1,journal-article,FALSE
10.48550/arxiv.2012.13672,10.1090/proc/16179,1,journal-article,TRUE
10.48550/arxiv.2402.00187,10.1007/s41115-024-00020-w,1,journal-article,FALSE
10.48550/arxiv.1201.1979,10.1080/00949655.2015.1049605,0.9875,journal-article,TRUE
10.48550/arxiv.2011.05402,10.18653/v1/2020.emnlp-main.478,1,proceedings-article,TRUE
10.48550/arxiv.2009.05871,10.1109/tpami.2020.3036993,1,journal-article,TRUE
10.48550/arxiv.1606.01459,10.1093/imrn/rnx018,1,journal-article,TRUE
10.48550/arxiv.1805.07301,10.1016/j.jeconom.2024.105676,0.875,journal-article,TRUE
10.48550/arxiv.2004.01764,10.1177/1548512920962219,1,journal-article,TRUE
10.48550/arxiv.2008.04861,10.1117/12.2580434,1,proceedings-article,TRUE
