input_doi,matched_doi
10.48550/arxiv.0905.0097,10.1007/jhep01(2010)042
10.48550/arxiv.2402.09182,10.1145/3613904.3642143
10.48550/arxiv.2105.00427,10.1103/physrevd.105.023507
10.48550/arxiv.2409.01363,10.1145/3701551.3703560
10.48550/arxiv.1709.08643,10.1103/physrevd.97.014019
10.48550/arxiv.1907.05846,10.1145/3341161.3342954
10.48550/arxiv.2101.00321,10.1021/acs.chemmater.1c00005
10.48550/arxiv.1710.07221,10.1103/physreva.96.046501
10.48550/arxiv.cond-mat/0409209,10.1103/physrevlett.94.127202
10.48550/arxiv.hep-th/9603183,10.1016/0550-3213(96)00263-5
10.48550/arxiv.0905.4580,10.1016/j.geomphys.2010.02.003
10.48550/arxiv.1807.07899,10.1093/mnras/sty2954
10.48550/arxiv.2009.07974,10.1109/icmla51294.2020.00025
10.48550/arxiv.2408.00259,10.1088/1402-4896/ad1c28
10.48550/arxiv.2207.13690,10.3390/universe8080392
10.48550/arxiv.1109.3271,10.1103/physreve.84.061603
10.48550/arxiv.2001.11993,
10.48550/arxiv.1011.2951,10.1088/0004-637x/727/1/33
10.48550/arxiv.cond-mat/0203035,10.1103/physrevb.66.041304
10.48550/arxiv.2312.07947,10.1109/tifs.2023.3343599
10.48550/arxiv.quant-ph/0511181,
10.48550/arxiv.2101.04499,10.1088/1361-6455/ac2a6e
10.48550/arxiv.1504.07188,10.22323/1.263.0060
10.48550/arxiv.1002.0455,10.1007/s12043-021-02161-6
10.48550/arxiv.hep-ph/0001302,10.1103/physrevd.62.035002
10.48550/arxiv.0811.4423,10.1088/1475-7516/2009/02/016
10.48550/arxiv.1306.0288,10.1088/0953-2048/26/10/102001
10.48550/arxiv.2212.12949,10.1088/1674-1137/acaef7
10.48550/arxiv.cond-mat/0405494,10.1103/physrevlett.93.040403
10.48550/arxiv.chao-dyn/9706023,10.1088/0305-4470/30/24/037
10.48550/arxiv.2301.02850,10.1038/s41467-025-56019-1
10.48550/arxiv.hep-lat/0409022,10.1016/j.nuclphysbps.2004.11.322
10.48550/arxiv.0912.3338,10.1103/physreva.81.010101
10.48550/arxiv.2204.06921,10.1063/5.0095827
10.48550/arxiv.2307.01622,10.1016/j.apenergy.2023.121014
10.48550/arxiv.1712.03004,10.4310/mrl.2021.v28.n2.a7
10.48550/arxiv.hep-ph/0201218,
10.48550/arxiv.1306.3236,10.1103/physrevd.90.043506
10.48550/arxiv.astro-ph/0201267,10.1051/0004-6361:20020082
10.48550/arxiv.1809.02266,10.1016/j.ces.2019.04.004
10.48550/arxiv.2110.05482,10.1007/s41027-023-00434-9
10.48550/arxiv.astro-ph/9805163,10.1046/j.1365-8711.1998.01814.x
10.48550/arxiv.2001.03701,10.1038/s41598-020-61613-y
10.48550/arxiv.0810.1914,10.1051/0004-6361:200810880
10.48550/arxiv.1303.6241,10.1017/nws.2014.4
10.48550/arxiv.1711.03748,10.1007/s11083-019-09483-6
10.48550/arxiv.1208.4464,10.1088/1367-2630/15/4/045016
10.48550/arxiv.2406.02660,10.1051/0004-6361/202450590
10.48550/arxiv.2209.12485,10.1007/978-3-031-17849-8_7
10.48550/arxiv.1209.3186,10.1007/s00454-014-9607-4
10.48550/arxiv.1307.3416,10.1103/physrevb.88.241404
10.48550/arxiv.0807.3252,10.1063/1.2999532
10.48550/arxiv.hep-ph/9609424,10.1016/s0920-5632(97)00060-1
10.48550/arxiv.1403.1753,10.1088/2040-8978/16/10/105012
10.48550/arxiv.1009.2202,10.1002/pssc.201000809
10.48550/arxiv.cond-mat/0409675,10.1143/jpsj.74.275
10.48550/arxiv.2009.05457,10.3847/1538-4357/aba61a
10.48550/arxiv.cond-mat/0301059,10.1103/physrevlett.90.204101
10.48550/arxiv.2306.08534,10.7566/jpsj.92.093001
10.48550/arxiv.astro-ph/0610404,10.1051/0004-6361:20065614
10.48550/arxiv.astro-ph/0206214,10.1086/342014
10.48550/arxiv.quant-ph/0401095,10.1023/b:foop.0000034224.37659.96
10.48550/arxiv.2406.07803,10.21437/interspeech.2024-398
10.48550/arxiv.0903.2455,10.1088/1126-6708/2009/05/087
10.48550/arxiv.1407.3966,10.1088/1748-0221/9/10/p10007
10.48550/arxiv.1611.06208,10.1016/j.jmva.2019.104567
10.48550/arxiv.1907.05958,10.1103/physrevd.100.084053
10.48550/arxiv.2010.07742,10.3847/1538-4357/abd54f
10.48550/arxiv.0901.3827,10.1007/s10509-009-0050-6
10.48550/arxiv.2010.13582,10.1016/j.ins.2021.03.068
10.48550/arxiv.2401.09683,10.1103/physrevb.110.195115
10.48550/arxiv.2010.11946,10.1109/ismsit50672.2020.9254585
10.48550/arxiv.1203.0447,10.3150/12-bej448
10.48550/arxiv.0801.1215,10.1111/j.1365-2966.2008.12898.x
10.48550/arxiv.1310.7565,10.1088/0004-6256/147/4/76
10.48550/arxiv.2110.00177,10.1112/plms.12492
10.48550/arxiv.1903.08657,10.1093/mnras/staa302
10.48550/arxiv.gr-qc/0511101,10.1007/978-90-481-2810-5_12
10.48550/arxiv.2105.07878,10.1109/access.2021.3070212
10.48550/arxiv.1808.07780,10.1093/mnras/sty2345
10.48550/arxiv.1810.01095,10.1017/nmj.2019.34
10.48550/arxiv.2101.07807,10.1103/physrevd.104.l021702
10.48550/arxiv.2103.06637,10.1103/physreva.104.013515
10.48550/arxiv.2003.02004,10.3847/1538-4357/ab9308
