input_doi,matched_doi
10.48550/arxiv.0805.2133,10.1086/590106
10.48550/arxiv.1202.0284,10.1103/physrevd.86.043527
10.48550/arxiv.0802.0735,10.1088/1126-6708/2008/09/028
10.48550/arxiv.1201.3384,10.1063/1.3693409
10.48550/arxiv.2210.16054,10.18524/0367-1631.2022.60.267728
10.48550/arxiv.2305.15515,10.1103/physreve.109.014312
10.48550/arxiv.2011.01666,10.1093/mnras/staa3472
10.48550/arxiv.1003.2360,10.1063/1.3481065
10.48550/arxiv.2110.14591,10.3847/1538-3881/ac559f
10.48550/arxiv.cond-mat/0403604,10.1016/b978-044451607-7/50007-8
10.48550/arxiv.1309.2858,10.1140/epjb/e2013-40777-7
10.48550/arxiv.1402.0426,10.1103/physreve.89.042101
10.48550/arxiv.2011.09094,10.1109/cvpr46437.2021.00165
10.48550/arxiv.hep-ex/0009018,10.1140/epjc/s2005-02440-5
10.48550/arxiv.1201.0290,10.1007/s00220-014-2145-3
10.48550/arxiv.0807.3454,10.1016/0020-7225(86)90001-7
10.48550/arxiv.astro-ph/0609392,10.1051/0004-6361:20066322
10.48550/arxiv.hep-ex/0512071,
10.48550/arxiv.2111.07183,10.1109/tac.2022.3216978
10.48550/arxiv.2204.08047,10.1103/physrevb.106.035123
10.48550/arxiv.1905.10789,10.3389/fspas.2019.00033
10.48550/arxiv.0709.3124,
10.48550/arxiv.1506.09165,10.1038/ncomms10977
10.48550/arxiv.hep-th/9412221,10.1016/0550-3213(96)00178-2
10.48550/arxiv.2307.00571,10.1111/mafi.12453
10.48550/arxiv.1905.08907,10.3847/1538-4357/ab23f0
10.48550/arxiv.gr-qc/0311090,10.1103/physrevd.70.124004
10.48550/arxiv.1510.00178,10.1137/15m1042176
10.48550/arxiv.1707.00698,10.1093/mnrasl/slx153
10.48550/arxiv.1201.3428,10.1016/j.nuclphysb.2012.02.006
10.48550/arxiv.1601.00048,10.1103/physrevb.93.144408
10.48550/arxiv.cond-mat/9605050,10.1088/0305-4470/29/18/005
10.48550/arxiv.0904.1874,10.1088/1126-6708/2009/06/002
10.48550/arxiv.1903.08118,10.1137/19m1251394
10.48550/arxiv.1903.11339,10.1134/s1063776120090010
10.48550/arxiv.2104.12472,10.1103/physreve.107.034101
10.48550/arxiv.2012.14892,10.1007/jhep05(2021)110
10.48550/arxiv.cond-mat/9801119,10.1103/physreve.57.4979
10.48550/arxiv.1502.00182,10.1109/tsp.2017.2649482
10.48550/arxiv.1405.7366,10.1063/1.4894287
10.48550/arxiv.cond-mat/0409337,10.1103/physrevb.71.125116
10.48550/arxiv.1302.4260,10.1103/physreva.88.010101
10.48550/arxiv.1607.02240,10.1364/fio.2016.ff3h.7
10.48550/arxiv.1409.3335,10.1093/mnras/stu1828
10.48550/arxiv.1706.09812,10.22323/1.301.0268
10.48550/arxiv.1711.05274,10.1088/1475-7516/2018/04/004
10.48550/arxiv.1701.02994,10.1093/mnras/stx082
10.48550/arxiv.2301.09162,10.1109/tmrb.2023.3310037
10.48550/arxiv.2205.02967,10.1021/acs.jpclett.1c00631
10.48550/arxiv.0712.0274,10.1017/s1743921308018255
10.48550/arxiv.1303.6631,10.1093/mnras/stt523
10.48550/arxiv.2004.09317,10.1109/tpami.2021.3083538
10.48550/arxiv.hep-ph/0004161,10.1142/9789812811752_0035
10.48550/arxiv.2111.00172,10.1007/s11192-021-04191-8
10.48550/arxiv.1605.03338,10.1109/infocom.2016.7524336
10.48550/arxiv.2101.12039,10.1016/j.physletb.2021.136692
10.48550/arxiv.1603.05831,10.1103/physrevfluids.1.054302
10.48550/arxiv.1908.07670,10.1093/pasj/psz104
10.48550/arxiv.1810.03143,10.1016/j.media.2018.10.005
10.48550/arxiv.astro-ph/0106353,10.1086/322772
10.48550/arxiv.2006.12584,10.3847/1538-4357/ab9e71
10.48550/arxiv.1307.3436,10.1209/0295-5075/104/16002
10.48550/arxiv.1203.0447,10.3150/12-bej448
10.48550/arxiv.1305.5155,10.1103/physreve.87.052405
10.48550/arxiv.2303.02143,10.1063/5.0149778
10.48550/arxiv.1410.3749,10.1063/1.4898803
10.48550/arxiv.cond-mat/0105229,10.1088/0305-4470/34/22/307
10.48550/arxiv.0801.4502,10.1051/0004-6361:20078701
10.48550/arxiv.1402.5151,10.1088/0004-637x/785/1/39
10.48550/arxiv.2206.05472,10.1109/isbi52829.2022.9761656
10.48550/arxiv.1205.3118,
10.48550/arxiv.2103.01326,10.1016/j.exmath.2021.09.001
10.48550/arxiv.1510.01876,10.1007/s10909-016-1489-9
10.48550/arxiv.quant-ph/0609100,10.1103/physreva.74.062304
10.48550/arxiv.1908.02960,10.1021/acsearthspacechem.9b00096
10.48550/arxiv.0709.3981,10.1016/j.nuclphysa.2007.07.005
10.48550/arxiv.math/0504058,10.1214/009053606000001488
10.48550/arxiv.1409.7481,10.7566/jpsj.83.103706
10.48550/arxiv.2107.08656,10.1103/physrevb.104.245113
10.48550/arxiv.2301.13277,10.1063/5.0144353
10.48550/arxiv.2410.21561,10.1109/icmla55696.2022.00115
10.48550/arxiv.2212.10610,10.1093/mnras/stad1581
10.48550/arxiv.2211.12177,10.1145/3568160.3570229
10.48550/arxiv.1708.03180,10.1107/s2053273317011548
10.48550/arxiv.astro-ph/0501387,10.1086/428897
10.48550/arxiv.astro-ph/9904148,10.1086/307635
10.48550/arxiv.1411.7151,10.1103/physrevc.97.024307
10.48550/arxiv.astro-ph/0203352,10.1103/physrevd.65.123504
10.48550/arxiv.1003.5885,10.22323/1.084.0056
10.48550/arxiv.astro-ph/0507480,10.1111/j.1365-2966.2005.09630.x
10.48550/arxiv.1202.3426,10.4171/jems/455
10.48550/arxiv.hep-lat/0609067,10.1103/physrevd.74.114509
10.48550/arxiv.2006.05781,10.1016/j.physletb.2020.135772
10.48550/arxiv.astro-ph/0102003,10.1086/322289
10.48550/arxiv.1311.5354,
10.48550/arxiv.cond-mat/0106491,10.1103/physrevb.66.214514
10.48550/arxiv.hep-th/9712038,10.1103/physrevd.57.7383
10.48550/arxiv.2111.02030,10.1103/physrevd.105.054002
10.48550/arxiv.1406.7450,10.1038/nphys3053
10.48550/arxiv.1706.02356,10.1103/physreve.96.042307
10.48550/arxiv.2102.06075,10.2139/ssrn.2112377
10.48550/arxiv.gr-qc/9610063,10.1023/a:1018895302693
10.48550/arxiv.1311.0005,10.7566/jpsj.83.064003
10.48550/arxiv.2307.12444,10.1007/s10208-024-09681-8
10.48550/arxiv.quant-ph/0506222,10.1103/physreva.73.012301
10.48550/arxiv.2010.02757,10.1093/mnras/staa3119
10.48550/arxiv.1005.3321,10.1063/1.3479332
10.48550/arxiv.gr-qc/0505085,10.1103/physrevd.72.084023
10.48550/arxiv.2010.07152,10.1145/3442381.3449898
10.48550/arxiv.1211.2660,10.1088/0264-9381/30/7/075016
10.48550/arxiv.quant-ph/0307078,10.1103/physreva.68.062104
10.48550/arxiv.0711.3397,10.1103/physrevd.77.054023
10.48550/arxiv.0806.1228,10.1103/physrevb.78.075433
10.48550/arxiv.hep-ph/0108036,10.1103/physrevlett.87.172003
10.48550/arxiv.2108.00627,10.1103/physreve.105.044604
10.48550/arxiv.astro-ph/0507478,10.1086/496941
10.48550/arxiv.1901.05717,10.1002/spe.2766
10.48550/arxiv.2011.00451,10.1109/jsyst.2021.3139449
10.48550/arxiv.1809.09562,10.1070/rm9835
10.48550/arxiv.1204.1944,10.1088/0004-637x/756/1/94
10.48550/arxiv.2005.01467,10.1145/3304103
10.48550/arxiv.2407.09198,10.1145/3610224
10.48550/arxiv.hep-th/9202036,10.1007/bf02097022
10.48550/arxiv.1803.02554,10.22323/1.318.0088
10.48550/arxiv.1910.05737,10.1103/physrevapplied.13.064013
10.48550/arxiv.1511.08813,10.1140/epja/i2016-16052-y
10.48550/arxiv.0911.4519,10.1364/ol.35.001656
10.48550/arxiv.1703.01055,
10.48550/arxiv.1003.1306,10.1007/jhep05(2010)036
10.48550/arxiv.1904.04310,10.1093/mnras/stz993
10.48550/arxiv.2007.12113,10.1103/physreve.102.042128
10.48550/arxiv.2305.18469,10.24963/ijcai.2023/519
10.48550/arxiv.hep-ph/9811328,10.1016/s0370-2693(99)00284-1
10.48550/arxiv.gr-qc/9904025,10.1088/0264-9381/17/16/302
10.48550/arxiv.2203.09806,10.1093/mnras/stac756
10.48550/arxiv.0910.1480,10.1111/j.1365-2966.2009.16117.x
10.48550/arxiv.1611.08041,10.1063/1.4962166
10.48550/arxiv.1901.07803,10.1007/978-3-030-31593-1_4
10.48550/arxiv.1806.02312,10.1007/jhep11(2018)164
10.48550/arxiv.hep-th/9710053,10.1016/s0550-3213(98)00139-4
10.48550/arxiv.0805.3257,10.1086/590243
10.48550/arxiv.1306.5341,10.1088/1367-2630/15/12/123014
10.48550/arxiv.1306.0840,10.1103/physrevb.88.235133
10.48550/arxiv.1409.5645,10.1016/j.jcp.2015.04.055
10.48550/arxiv.nucl-ex/0409003,
10.48550/arxiv.2203.11974,10.1090/proc/16189
10.48550/arxiv.0911.3337,10.1103/physrevb.82.014533
10.48550/arxiv.2005.13876,10.1145/3347451.3356731
10.48550/arxiv.math/0002252,10.1007/bf02984107
10.48550/arxiv.1803.00046,10.1080/00218464.2018.1479258
10.48550/arxiv.2105.02397,10.1103/physrevd.103.094038
10.48550/arxiv.1802.02195,10.1609/aaai.v33i01.33014846
10.48550/arxiv.1803.03451,10.1007/978-3-030-00473-6_36
10.48550/arxiv.0707.1399,10.1111/j.1745-3933.2007.00360.x
10.48550/arxiv.1901.03180,10.1051/epjconf/201919701001
10.48550/arxiv.nucl-th/9807056,10.1016/s0370-2693(98)01105-8
10.48550/arxiv.1511.08468,10.2140/ant.2016.10.1949
10.48550/arxiv.2204.01791,10.1103/prxquantum.3.030335
10.48550/arxiv.2206.13698,10.1103/physrevlett.130.166902
10.48550/arxiv.2202.05699,10.1093/pasj/psac017
10.48550/arxiv.hep-ph/9607362,10.1103/physrevd.56.4226
10.48550/arxiv.1809.02586,10.1088/1361-6544/abb9f9
10.48550/arxiv.1308.3425,10.1103/physrevb.88.161404
10.48550/arxiv.solv-int/9502001,10.1088/0305-4470/28/11/007
10.48550/arxiv.1912.02778,10.1103/physrevlett.124.150501
10.48550/arxiv.2403.15783,10.1137/24m1649824
10.48550/arxiv.1504.08026,10.1017/etds.2015.117
10.48550/arxiv.2011.10703,10.1112/s0010437x2200745x
10.48550/arxiv.1711.05982,10.1088/1742-6596/934/1/012042
10.48550/arxiv.0911.3136,10.1103/physrevlett.104.057006
10.48550/arxiv.2312.04223,10.1145/3613905.3636286
10.48550/arxiv.1601.05441,10.1103/physrevd.93.096010
10.48550/arxiv.1901.03712,10.1093/mnras/stz190
10.48550/arxiv.1605.07053,10.1016/j.bpj.2016.09.007
10.48550/arxiv.2105.11057,10.1063/5.0042784
10.48550/arxiv.2303.12174,10.1103/physrevlett.131.189601
10.48550/arxiv.1905.05764,10.1007/jhep05(2020)042
10.48550/arxiv.1104.1851,10.1088/1475-7516/2012/04/017
10.48550/arxiv.nucl-th/9804027,10.1103/physrevc.58.1804
10.48550/arxiv.1709.02263,10.1017/jfm.2018.288
10.48550/arxiv.1708.03123,10.1103/physrevb.96.054438
10.48550/arxiv.1402.6988,10.1209/0295-5075/106/36003
10.48550/arxiv.cond-mat/0607766,10.1063/1.2403870
10.48550/arxiv.1405.2173,10.1088/1742-6596/545/1/012001
