input_doi,matched_doi,confidence
10.48550/arxiv.astro-ph/9610178,10.1086/304081,0.9949
10.48550/arxiv.2308.02419,10.1145/3580305.3599872,1.0000
10.48550/arxiv.hep-ph/0307201,10.1063/1.1627732,0.8529
10.48550/arxiv.1308.5952,10.1016/j.jcp.2014.01.029,1.0000
10.48550/arxiv.1506.07028,10.1038/nmat4248,1.0000
10.48550/arxiv.1507.07129,,
10.48550/arxiv.1710.10272,10.1103/physrevb.97.121404,0.8190
10.48550/arxiv.0707.0439,10.1103/physreve.76.050101,1.0000
10.48550/arxiv.1904.09811,10.1109/access.2020.3014458,1.0000
10.48550/arxiv.1810.07360,10.4310/pamq.2022.v18.n3.a3,0.9765
10.48550/arxiv.1209.3846,10.1209/0295-5075/101/17004,0.8737
10.48550/arxiv.1801.00128,10.1007/s10701-017-0093-4,0.8824
10.48550/arxiv.astro-ph/0507635,10.1086/491707,0.9681
10.48550/arxiv.2007.15570,10.2172/1827264,0.9941
10.48550/arxiv.2403.09607,10.1145/3613904.3642083,1.0000
10.48550/arxiv.physics/0609203,10.1103/physrevlett.97.244101,0.8342
10.48550/arxiv.2105.04560,10.1093/mnras/stab2492,1.0000
10.48550/arxiv.2103.08388,10.1103/physrevapplied.16.054032,1.0000
10.48550/arxiv.2006.06027,10.1093/mnras/staa1700,1.0000
10.48550/arxiv.0705.1559,10.1088/1367-2630/9/11/421,0.9952
10.48550/arxiv.1306.1289,10.1007/s11433-013-5378-9,1.0000
10.48550/arxiv.1711.05921,10.1103/physrevd.97.055017,0.9548
10.48550/arxiv.1112.4334,10.1111/j.1365-2966.2012.22136.x,0.8783
10.48550/arxiv.1704.01897,10.1109/tnnls.2017.2689242,1.0000
10.48550/arxiv.1909.13728,10.1103/physrevd.102.083528,1.0000
10.48550/arxiv.1708.08884,10.1017/s1743921317008730,1.0000
10.48550/arxiv.2110.14246,10.1093/mnras/stac1266,1.0000
10.48550/arxiv.2009.13825,10.1103/physrevresearch.2.043212,1.0000
10.48550/arxiv.2304.05951,10.1103/physrevlett.132.033402,1.0000
10.48550/arxiv.2102.01786,10.1039/d1sm00380a,1.0000
10.48550/arxiv.2106.14847,10.1063/5.0061605,0.9972
10.48550/arxiv.2401.00928,10.1145/3637382,1.0000
10.48550/arxiv.1503.02010,10.1103/physreva.91.053628,1.0000
10.48550/arxiv.1501.00699,10.1364/josaa.31.002256,0.8704
10.48550/arxiv.0812.3219,10.1007/978-3-642-11250-8_16,1.0000
10.48550/arxiv.2012.01501,,
10.48550/arxiv.1209.0929,10.1063/1.4769253,1.0000
10.48550/arxiv.hep-ph/9808295,10.1142/s021773239900153x,0.8824
10.48550/arxiv.0909.3916,10.1112/s0010437x1000494x,1.0000
10.48550/arxiv.0711.2877,10.2478/s11534-009-0010-3,1.0000
10.48550/arxiv.math/0212001,10.1007/s00220-004-1166-8,1.0000
10.48550/arxiv.1207.1009,10.1088/0264-9381/30/1/015008,1.0000
10.48550/arxiv.0910.2537,10.1007/jhep01(2010)070,0.9436
10.48550/arxiv.2209.07296,10.1007/jhep02(2023)187,1.0000
10.48550/arxiv.0904.0265,10.1088/0953-4075/42/20/205401,0.9986
10.48550/arxiv.1310.1350,10.1103/physreva.88.043627,0.9911
10.48550/arxiv.2006.02336,10.22331/q-2021-06-29-483,1.0000
10.48550/arxiv.0802.4035,,
10.48550/arxiv.1903.06805,10.1063/1.5084693,0.9928
10.48550/arxiv.1006.5097,10.4204/eptcs.28.4,1.0000
10.48550/arxiv.1311.1927,,
10.48550/arxiv.1905.07099,10.1063/1.5110226,0.9541
